Timestep,rainfall14,rainfall-daily
604,0.07,0
605,0.07,0
606,0.07,0
607,0.07,0
608,0.07,0
609,0.07,0
610,0.07,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0.533333333
656,0.53,0
657,0.53,0
658,0.53,0
659,0.53,0
660,0.53,0
661,0.53,0
662,0.53,0
663,0.53,0
664,0.53,0
665,0.53,0
666,0.53,0
667,0.53,0
668,0.53,0
669,0.53,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,2
692,2,0
693,2,0
694,2,0
695,2,0
696,2,0
697,2,0.133333333
698,2.13,9.666666667
699,11.8,0
700,11.8,0
701,11.8,0
702,11.8,0.75
703,12.55,0
704,12.55,0
705,12.55,0
706,10.55,0
707,10.55,0
708,10.55,0
709,10.55,0
710,10.55,0
711,10.55,0
712,10.42,0
713,0.75,2.5
714,3.25,5.75
715,9,0
716,9,0
717,8.25,3.4
718,11.65,3.5
719,15.15,0
720,15.15,0
721,15.15,6
722,21.15,0
723,21.15,0
724,21.15,0
725,21.15,0
726,21.15,1.375
727,22.53,3.95
728,23.98,0
729,18.23,0
730,18.23,0.1
731,18.33,0
732,14.93,22.5
733,33.93,5.5
734,39.43,28.175
735,67.6,27
736,88.6,8.25
737,96.85,0.55
738,97.4,4.15
739,101.55,0
740,101.55,3.9
741,104.08,0
742,100.13,2.8
743,102.93,13
744,115.93,3.75
745,119.58,2
746,121.58,10.5
747,109.58,0.025
748,104.1,5.575
749,81.5,5.075
750,59.58,0
751,51.33,6.25
752,57.03,0.375
753,53.25,0.333333333
754,53.58,0.875
755,50.56,0
756,50.56,0.5
757,48.26,12.5
758,47.76,2.75
759,46.76,2.5
760,47.26,4.75
761,41.51,0
762,41.48,7.975
763,43.88,1.375
764,40.18,1.375
765,41.56,1.875
766,37.18,0.5
767,37.31,8.25
768,45.23,1
769,45.35,5.5
770,50.85,7.833333333
771,58.18,17.58333333
772,63.27,23.58333333
773,84.1,18.875
774,100.48,46.875
775,142.6,16.75
776,159.35,13.5
777,164.88,13
778,176.5,2.125
779,177.25,9.8125
780,185.19,19.4375
781,204.13,5.3125
782,201.19,2.5625
783,202.75,0
784,197.25,0.75
785,190.17,15.725
786,188.31,18.725
787,183.45,14.375
788,178.95,9.625
789,141.7,25.525
790,150.48,23.75
791,160.73,23.125
792,170.85,14.6
793,183.33,11
794,184.51,1
795,166.08,15.95
796,176.71,14.1
797,188.25,19.3
798,207.55,17.8
799,224.6,2.8
800,211.68,10.1
801,203.05,17.3
802,205.98,3.8
803,200.15,2.2
804,176.83,2.3
805,155.38,2.62
806,134.87,1.8
807,122.07,8.7
808,119.77,10.3
809,129.07,10.72
810,123.84,8.64
811,118.38,2.753333333
812,101.83,3.133333333
813,87.17,3.693333333
814,88.06,16.3
815,94.26,13.8
816,90.76,27.2
817,114.16,5.84
818,117.8,2.627
819,118.13,13.05366667
820,128.56,6.733666667
821,133.49,12.45366667
822,137.25,6.08
823,133.03,5.94
824,128.25,12
825,131.61,1.875
826,130.73,17.3
827,144.9,6.16
828,147.36,4.005714286
829,135.07,10.92571429
830,132.19,9.385714286
831,114.38,11.08571429
832,119.63,13.75238095
833,130.75,18.45238095
834,136.15,6.752380952
835,136.17,17.4
836,141.12,10.25
837,145.29,4.795
838,144.14,5.675
839,137.82,5.208333333
840,141.15,15.04833333
841,138.9,10.13333333
842,142.87,17.4
843,156.26,3.36
844,148.7,10.45
845,149.76,14.85
846,153.53,18.85
847,158.62,24.55
848,164.72,27.35
849,185.32,15.88
850,183.8,22.64
851,196.19,9.64
852,201.04,17.9
853,213.26,43.7
854,251.75,19.98
855,256.68,16.5
856,263.05,13.94285714
857,259.59,12.74285714
858,268.98,3.222857143
859,261.75,16.34285714
860,263.24,25.58285714
861,269.97,3.142857143
862,248.57,12.78285714
863,234,8.3
864,226.42,21.72
865,225.5,6.335
866,222.2,7.975
867,212.27,15.875
868,184.45,6.875
869,171.34,3.8
870,158.64,0.5
871,145.2,1.2
872,133.65,10.84
873,141.27,6.4
874,131.33,3.06
875,108.81,2.2
876,107.86,14.7
877,109.78,3.8
878,105.28,10.5
879,94.06,0.8
880,88.53,11.1
881,91.65,6.7
882,82.48,3.44
883,79.04,18.24
884,93.48,4.15
885,97.13,7.45
886,103.38,27.65
887,120.19,31.15
888,144.94,1.4
889,143.28,6
890,147.08,5.4
891,137.78,0
892,133.98,2.2
893,125.68,1
894,125.88,4.6
895,119.38,9.1
896,121.78,16.4
897,134.74,6
898,122.5,11.2
899,129.55,19.8
900,141.9,9.2
901,123.45,4.8
902,97.1,7.8
903,103.5,0
904,97.5,0
905,92.1,0
906,92.1,0.4
907,90.3,49.8
908,139.1,3.8
909,138.3,0.8
910,130,7.6
911,121.2,0
912,115.2,0
913,104,0
914,84.2,0
915,75,0
916,70.2,0
917,62.4,0
918,62.4,0
919,62.4,0
920,62.4,0
921,62,0
922,12.2,0
923,8.4,3
924,10.6,3
925,6,0
926,6,0
927,6,0
928,6,0
929,6,0
930,6,0
931,6,0
932,6,3
933,9,9
934,18,2.75
935,20.75,0
936,20.75,0
937,20.75,0.15
938,17.9,0
939,14.9,0
940,14.9,0
941,14.9,0
942,14.9,0
943,14.9,0
944,14.9,0
945,14.9,0
946,14.9,0
947,11.9,0
948,2.9,0
949,0.15,0
950,0.15,0
951,0.15,0
952,0,0
953,0,0
954,0,0
955,0,0
956,0,0
957,0,0
958,0,0
959,0,0
960,0,0
961,0,0.066666667
962,0.07,0
963,0.07,0
964,0.07,0
965,0.07,0
966,0.07,0
967,0.07,0
968,0.07,0
969,0.07,0
970,0.07,0
971,0.07,0
972,0.07,0
973,0.07,0
974,0.07,0
975,0.07,0
976,0,0
977,0,0
978,0,0
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0,0
993,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
999,0,0
1000,0,0
1001,0,0
1002,0,0
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0,0
1017,0,0
1018,0,0
1019,0,0
1020,0,0.533333333
1021,0.53,0
1022,0.53,0
1023,0.53,0
1024,0.53,0
1025,0.53,0
1026,0.53,0
1027,0.53,0
1028,0.53,0
1029,0.53,0
1030,0.53,0
1031,0.53,0
1032,0.53,0
1033,0.53,0
1034,0.53,0
1035,0,0
1036,0,0
1037,0,0
1038,0,0
1039,0,0
1040,0,0
1041,0,0
1042,0,0
1043,0,0
1044,0,0
1045,0,0
1046,0,0
1047,0,0
1048,0,0
1049,0,0
1050,0,0
1051,0,0
1052,0,0
1053,0,0
1054,0,0
1055,0,0
1056,0,2
1057,2,0
1058,2,0
1059,2,0
1060,2,0
1061,2,0
1062,2,0.133333333
1063,2.13,9.666666667
1064,11.8,0
1065,11.8,0
1066,11.8,0
1067,11.8,0.75
1068,12.55,0
1069,12.55,0
1070,12.55,0
1071,10.55,0
1072,10.55,0
1073,10.55,0
1074,10.55,0
1075,10.55,0
1076,10.55,0
1077,10.42,0
1078,0.75,2.5
1079,3.25,5.75
1080,9,0
1081,9,0
1082,8.25,3.4
1083,11.65,3.5
1084,15.15,0
1085,15.15,0
1086,15.15,6
1087,21.15,0
1088,21.15,0
1089,21.15,0
1090,21.15,0
1091,21.15,1.375
1092,22.53,3.95
1093,23.98,0
1094,18.23,0
1095,18.23,0.1
